,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2024,,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2023,65.146290855385,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2022,64.4870195456608,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2021,62.9799991857494,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2020,63.7664840026943,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2019,63.8572612837042,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2018,63.3306913582336,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2017,62.5912750961501,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2016,62.1679813169199,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2024,,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2023,58.8557215483276,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2022,57.9878133945189,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2021,57.3625716910274,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2020,57.3644254011107,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2019,57.1498467555118,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2018,57.036976441386,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2017,56.6264388112566,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2016,56.3924518507367,Aggregates,Aggregates,Aggregates,,
18,1A,Arab World,"Life expectancy at birth, total (years)",2024,,Aggregates,Aggregates,Aggregates,,
19,1A,Arab World,"Life expectancy at birth, total (years)",2023,72.4446783578531,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,"Life expectancy at birth, total (years)",2022,71.8760955992222,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,"Life expectancy at birth, total (years)",2021,70.4041144889903,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,"Life expectancy at birth, total (years)",2020,70.7265588103862,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,"Life expectancy at birth, total (years)",2019,71.8398932674972,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,"Life expectancy at birth, total (years)",2018,71.4312997859137,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,"Life expectancy at birth, total (years)",2017,71.1128560080647,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,"Life expectancy at birth, total (years)",2016,70.8964881164428,Aggregates,Aggregates,Aggregates,,
27,S3,Caribbean small states,"Life expectancy at birth, total (years)",2024,,Aggregates,Aggregates,Aggregates,,
28,S3,Caribbean small states,"Life expectancy at birth, total (years)",2023,73.1716450013098,Aggregates,Aggregates,Aggregates,,
29,S3,Caribbean small states,"Life expectancy at birth, total (years)",2022,72.8322921090608,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,"Life expectancy at birth, total (years)",2021,69.9228107471769,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,"Life expectancy at birth, total (years)",2020,71.9394359303317,Aggregates,Aggregates,Aggregates,,
32,S3,Caribbean small states,"Life expectancy at birth, total (years)",2019,72.1292604830284,Aggregates,Aggregates,Aggregates,,
33,S3,Caribbean small states,"Life expectancy at birth, total (years)",2018,72.2210854022703,Aggregates,Aggregates,Aggregates,,
34,S3,Caribbean small states,"Life expectancy at birth, total (years)",2017,72.1731041595093,Aggregates,Aggregates,Aggregates,,
35,S3,Caribbean small states,"Life expectancy at birth, total (years)",2016,72.0516361154512,Aggregates,Aggregates,Aggregates,,
36,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2024,,Aggregates,Aggregates,Aggregates,,
37,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2023,77.8967836493153,Aggregates,Aggregates,Aggregates,,
38,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2022,76.6522987292583,Aggregates,Aggregates,Aggregates,,
39,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2021,74.7232827859077,Aggregates,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2020,76.0162701269145,Aggregates,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2019,77.2659141936307,Aggregates,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2018,76.9764380835075,Aggregates,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2017,76.929788715597,Aggregates,Aggregates,Aggregates,,
