,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
6991,TO,Tonga,People using at least basic drinking water services (% of population),2017,98.6264090246298,East Asia & Pacific,Upper middle income,IDA,-175.216,-21.136
6992,TO,Tonga,People using at least basic drinking water services (% of population),2016,98.5895080009692,East Asia & Pacific,Upper middle income,IDA,-175.216,-21.136
6993,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2024,,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
6994,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2023,,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
6995,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2022,98.8751707692306,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
6996,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2021,98.8751707692306,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
6997,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2020,98.8751707692306,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
6998,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2019,98.8751707692306,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
6999,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2018,98.8751707692306,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
7000,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2017,98.8751707692306,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
7001,TT,Trinidad and Tobago,People using at least basic drinking water services (% of population),2016,98.5190924728501,Latin America & Caribbean ,High income,IBRD,-61.4789,10.6596
7002,TN,Tunisia,People using at least basic drinking water services (% of population),2024,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7003,TN,Tunisia,People using at least basic drinking water services (% of population),2023,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7004,TN,Tunisia,People using at least basic drinking water services (% of population),2022,97.1817312536701,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7005,TN,Tunisia,People using at least basic drinking water services (% of population),2021,96.9389930485919,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7006,TN,Tunisia,People using at least basic drinking water services (% of population),2020,96.6926617389598,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7007,TN,Tunisia,People using at least basic drinking water services (% of population),2019,96.1940901831773,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7008,TN,Tunisia,People using at least basic drinking water services (% of population),2018,95.6902295465412,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7009,TN,Tunisia,People using at least basic drinking water services (% of population),2017,95.1815374585918,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7010,TN,Tunisia,People using at least basic drinking water services (% of population),2016,94.6685359628418,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,10.21,36.7899
7011,TR,Turkiye,People using at least basic drinking water services (% of population),2024,,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7012,TR,Turkiye,People using at least basic drinking water services (% of population),2023,,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
